Symbol	C-type lectin receptor signaling pathway	Cytokine-cytokine receptor interaction	Cytosolic DNA-sensing pathway	Estrogen signaling pathway	IL-17 signaling pathway	NF-kappa B signaling pathway	NOD-like receptor signaling pathway	Osteoclast differentiation	Regulation of actin cytoskeleton	RIG-I-like receptor signaling pathway	T cell receptor signaling pathway	Th17 cell differentiation	TNF signaling pathway	Toll-like receptor signaling pathway	Viral protein interaction with cytokine and cytokine receptor	sum	pathway	CFTR_interactor	dorothea_tf	receptor_ligand	receptor	Node_type
BLNK	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE	Protein
BRCC3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
BTK	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
CALML6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
CAMK4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE	Protein
CAPN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	Protein
CAPNS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	Protein
CARD10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CARD11	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
CARD16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CARD6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CARD8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CARD9	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
CASP1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	End point - Caspases
CASP10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CASP12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CASP3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	NA	NA	FALSE	FALSE	FALSE	End point - Caspases
CASP7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE	End point - Caspases
CASP8	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	4	NA	NA	FALSE	FALSE	FALSE	Protein
CAV1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	Protein
CAV2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	Protein
CBLB	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
CD14	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	NA	NA	FALSE	FALSE	TRUE	Receptor
CD247	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CD28	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CD3E	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CD4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
CD40	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	3	NA	NA	FALSE	FALSE	TRUE	Receptor
CD40LG	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
CDC42	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
CEBPB	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	NA	NA	TRUE	FALSE	FALSE	End point - TF
CFL1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	End point - Regulation of actin cytoskeleton
CFLAR	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
CFTR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	CFTR
CHRM1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	TRUE	Receptor
CHUK	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	9	NA	NA	FALSE	FALSE	FALSE	Protein
CLEC1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CLEC4D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CLEC4E	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CLEC4M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CLEC6A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CLEC7A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
CREB1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	TRUE	FALSE	FALSE	End point - TF
CREB3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	NA	NA	TRUE	FALSE	FALSE	End point - TF
CSF1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	NA	NA	FALSE	FALSE	FALSE	Protein
CSF1R	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	NA	NA	FALSE	FALSE	FALSE	Protein
CSF3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
CSF3R	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	FALSE	FALSE	Protein
CSH1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	TRUE	FALSE	Receptor Ligand
CSNK2A1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	TRUE	FALSE	FALSE	FALSE	Protein
CTLA4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CTSB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
CXCL12	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
CXCR4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	TRUE	Receptor
CYBA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	End point - Others
CYBB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	End point - Others
CYLD	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	4	NA	NA	FALSE	FALSE	FALSE	Protein
DAB2IP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE	Protein
DDX3X	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
DHX33	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
DHX58	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
DIAPH1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
DIAPH3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
DLG1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
DNM1L	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	NA	NA	FALSE	FALSE	FALSE	End point - Others
DOCK1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
EDA	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
EDA2R	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	TRUE	Receptor
EDAR	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	TRUE	Receptor
EDARADD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	NA	FALSE	FALSE	FALSE	Protein
EGF	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
EGFR	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	TRUE	Receptor
ENAH	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	End point - Regulation of actin cytoskeleton
EPO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	TRUE	FALSE	Receptor Ligand
EPOR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	FALSE	FALSE	Protein
ERBIN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
ESR1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	TRUE	FALSE	FALSE	End point - TF
ESR2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	TRUE	FALSE	FALSE	End point - TF
EZR	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	FALSE	FALSE	FALSE	FALSE	Protein
F2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	TRUE	FALSE	Receptor Ligand
F2R	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	TRUE	Receptor
FADD	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	4	NA	NA	FALSE	FALSE	FALSE	Protein
FCER1G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
FCGR1A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	TRUE	Receptor
FGD1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
FHL2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE	Protein
FN1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	TRUE	FALSE	Receptor Ligand
FOS	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	7	NA	NA	TRUE	FALSE	FALSE	End point - TF
FOXP3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	TRUE	FALSE	FALSE	Protein
FYN	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
GAB2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE	Protein
GABARAP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	End point - Others
GABBR1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
GHR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	FALSE	FALSE	Protein
GIT1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
GNA13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
GNAI1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE	Protein
GNAQ	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE	Protein
GNAS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE	Protein
GNG12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
GPER1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
GPR26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	TRUE	Receptor
GPRC6A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
GRAP2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
GRB2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
GRM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
GSK3B	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
GSN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	End point - Regulation of actin cytoskeleton
HBEGF	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE	Protein
HRAS	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
HSP90AA1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
ICOS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
IFI16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
IFIH1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
IFNA1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	4	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
IFNAR1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	3	NA	NA	FALSE	FALSE	TRUE	Receptor
IFNB1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	5	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
IFNG	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	4	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
IFNGR1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	NA	NA	FALSE	FALSE	TRUE	Receptor
IKBKB	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	7	NA	NA	FALSE	FALSE	FALSE	Protein
IKBKE	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	5	NA	NA	FALSE	FALSE	FALSE	Protein
IKBKG	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	5	NA	NA	FALSE	FALSE	FALSE	Protein
IL16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	TRUE	FALSE	Receptor Ligand
IL17A	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
IL17RA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
IL1A	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
IL1B	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	5	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
IL1R1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	NA	NA	FALSE	FALSE	TRUE	Receptor
IL2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
IL21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	TRUE	FALSE	Receptor Ligand
IL27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	TRUE	FALSE	Receptor Ligand
IL27RA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	FALSE	TRUE	Receptor
IL2RA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	FALSE	TRUE	Receptor
IL2RG	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	FALSE	TRUE	Receptor
IL34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
IL4	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	4	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
IL6	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	5	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
IL6R	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	NA	NA	FALSE	FALSE	TRUE	Receptor
INS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
IQGAP1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	End point - Regulation of actin cytoskeleton
IRAK1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
IRAK4	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
IRF1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	NA	NA	TRUE	FALSE	FALSE	End point - TF
IRF3	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	4	NA	NA	TRUE	FALSE	FALSE	End point - TF
IRF5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	TRUE	FALSE	FALSE	End point - TF
IRF7	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	3	NA	NA	TRUE	FALSE	FALSE	End point - TF
IRF9	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	NA	NA	TRUE	FALSE	FALSE	End point - TF
IRS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE	Protein
ISG15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
ITCH	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE	Protein
ITGA11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
ITK	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
ITPR1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	NA	NA	FALSE	FALSE	TRUE	Receptor
JAK1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
JUN	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	4	NA	NA	TRUE	FALSE	FALSE	End point - TF
KCNJ3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE	Protein
KNG1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
KRAS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE	Protein
KSR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
LAP3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
LAT	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
LCK	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
LCP2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
LEP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	FALSE	FALSE	Protein
LEPR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	FALSE	FALSE	Protein
LIMK1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
LPAR1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	TRUE	Receptor
